ID,N_VICTIMAS,AAAA,MM,DD,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,Calle,COMUNA,pos x,pos y,VICTIMA,ACUSADO
2021-0075,1,2021,9,21,14,SALTA Y BRASIL,CALLE,SALTA,1,-58.38281301,-34.62786038,PEATON,CARGAS
2021-0076,1,2021,10,16,6,"MORENO, PERITO AV. 2152",AVENIDA,"MORENO, PERITO AV.",7,-58.43980799,-34.65094083,MOTO,OBJETO FIJO
2021-0077,1,2021,10,18,7,DIRECTORIO AV. 1169,AVENIDA,DIRECTORIO AV.,6,-58.44402387,-34.62933109,MOTO,CARGAS
2021-0078,1,2021,10,23,6,INDEPENDENCIA AV. Y LA PLATA AV.,AVENIDA,INDEPENDENCIA AV.,6,-58.42779702,-34.62207347,MOTO,PASAJEROS
2021-0079,1,2021,10,25,3,TUCUMAN 3112,CALLE,TUCUMAN,3,-58.40944147,-34.60097942,PEATON,AUTO
2021-0080,1,2021,10,28,16,ARENALES Y 9 DE JULIO AV.,AVENIDA,ARENALES,1,-58.38277479,-34.59430160,MOTO,AUTO
2021-0081,1,2021,11,2,13,AU FRONDIZI SUBIDA BRANDSEN,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,4,-58.37627355,-34.63800916,MOTO,CARGAS
2021-0082,1,2021,11,6,4,AU 25 DE MAYO KM7 (ALTURA PASCO),AUTOPISTA,AUTOPISTA 25 DE MAYO,3,-58.39591856,-34.62453459,MOTO,AUTO
2021-0083,1,2021,11,9,0,CABILDO AV. Y OLAZABAL,AVENIDA,CABILDO AV.,13,-58.45829717,-34.56015762,MOTO,AUTO
2021-0084,1,2021,11,11,3,TAPALQUE Y BRUIX AV.,AVENIDA,TAPALQUE,9,-58.49142611,-34.64584795,AUTO,OBJETO FIJO
2021-0085,1,2021,11,20,18,"PAZ, GRAL. AV. Y EZEIZA",GRAL PAZ,"PAZ, GRAL. AV.",12,-58.51271409,-34.57786555,MOTO,OBJETO FIJO
2021-0086,1,2021,11,25,10,RIVADAVIA AV. Y PUAN,AVENIDA,RIVADAVIA AV.,6,-58.44864864,-34.62352826,PEATON,PASAJEROS
2021-0087,1,2021,11,27,11,ESMERALDA 1359,CALLE,ESMERALDA,1,-58.37795815,-34.59167894,PEATON,BICICLETA
2021-0088,1,2021,12,1,15,AV. MOROE Y 3 DE FEBRERO,CALLE,MONROE,13,-58.45531707,-34.55555257,MOTO,AUTO
2021-0089,1,2021,12,2,1,AV. GAONA 3655,AVENIDA,GAONA AV.,11,-58.47633683,-34.62140594,MOTO,AUTO
2021-0090,1,2021,12,10,11,AV. 9 DE JULIO Y LAVALLE,AVENIDA,9 DE JULIO AV.,1,-58.38188582,-34.60256036,PEATON,PASAJEROS
2021-0091,1,2021,12,11,23,BAIGORRIA Y VICTOR HUGO,CALLE,BAIGORRIA,10,-58.51989389,-34.62284918,MOTO,AUTO
2021-0092,1,2021,12,12,6,AV. RIVADAVIA Y AV. PUEYRREDON,AVENIDA,RIVADAVIA AV.,3,-58.40596860,-34.61011987,PEATON,AUTO
2021-0093,1,2021,12,13,17,AV. RIESTRA Y MOM,AVENIDA,RIESTRA AV.,7,-58.43353773,-34.64561636,MOTO,AUTO
2021-0094,1,2021,12,20,1,AU DELLEPIANE Y LACARRA,AUTOPISTA,"DELLEPIANE, LUIS, TTE. GRAL.",9,-58.46739825,-34.65117757,MOTO,AUTO
2021-0095,1,2021,12,30,0,AV. GAONA Y TERRADA,AVENIDA,GAONA AV.,11,-58.47293407,-34.61984745,MOTO,CARGAS
2021-0096,1,2021,12,15,10,AV. EVA PERON 4071,AVENIDA,"PERON, EVA AV.",9,-58.47066794,-34.65021673,AUTO,CARGAS
2021-0097,1,2021,11,18,6,PADRE CARLOS MUJICA 709,CALLE,PADRE CARLOS MUJICA,1,-58.37976155,-34.58679619,BICICLETA,AUTO
