ID,N_VICTIMAS,AAAA,MM,DD,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,Calle,COMUNA,pos x,pos y,VICTIMA,ACUSADO
2021-0015,1,2021,2,6,3,SAN MARTIN AV. Y TINOGASTA,AVENIDA,SAN MARTIN AV.,15,-58.49018543,-34.59724990,MOTO,OBJETO FIJO
2021-0016,1,2021,2,14,5,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y DE LA TORRE, LISANDRO",AVENIDA,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,-58.47230127,-34.68482689,AUTO,OBJETO FIJO
2021-0017,1,2021,2,17,4,SALTA Y CASEROS AV.,AVENIDA,SALTA,1,-58.38262614,-34.63168269,MOTO,PASAJEROS
2021-0018,1,2021,2,20,19,"JAURES, JEAN Y PERON, JUAN DOMINGO, TTE. GENERAL",CALLE,"JAURES, JEAN",3,-58.41047268,-34.60793518,PEATON,AUTO
2021-0019,1,2021,2,21,1,"TRIUNVIRATO AV. Y LARRALDE, CRISOLOGO AV.",AVENIDA,TRIUNVIRATO AV.,12,-58.49659234,-34.56353635,MOTO,OBJETO FIJO
2021-0020,1,2021,2,21,15,POTOSI Y GASCON,CALLE,POTOSI,5,-58.42462955,-34.60727189,PEATON,CARGAS
2021-0021,1,2021,2,26,5,"YRIGOYEN, HIPOLITO Y  24 DE NOVIEMBRE",CALLE,"YRIGOYEN, HIPOLITO",3,-58.41168345,-34.61185625,MOTO,OBJETO FIJO
2021-0022,1,2021,2,28,12,DEL LIBERTADOR AV. Y ROOSEVELT FRANKLIN D.,AVENIDA,DEL LIBERTADOR AV.,13,-58.45157681,-34.55217303,PASAJEROS,SD
2021-0023,1,2021,3,1,9,"AU BUENOS AIRES LA PLATA  KM 4,5",AUTOPISTA,AUTOPISTA BUENOS AIRES - LA PLATA,4,.,.,MOTO,CARGAS
2021-0024,1,2021,3,3,16,"PERON, EVA AV. y PIEDRA BUENA AV",AVENIDA,"PERON, EVA AV.",9,-58.49573651,-34.67006054,BICICLETA,CARGAS
2021-0025,1,2021,3,11,3,"PAZ, GRAL. AV. y DELLEPIANE, LUIS, TTE. GRAL",GRAL PAZ,"PAZ, GRAL. AV.",8,-58.48695354,-34.68795245,MOTO,OTRO
2021-0026,1,2021,3,15,2,"AU FRONDIZI ALTURA QUINQUELA MARTIN, BENITO",AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,4,-58.37562539,-34.64449357,MOTO,OBJETO FIJO
2021-0027,1,2021,3,16,15,"PAZ, GRAL. AV. y DONADO",GRAL PAZ,"PAZ, GRAL. AV.",12,-58.49491054,-34.54795581,MOTO,CARGAS
2021-0028,1,2021,3,29,17,"COREA AV. y TORRES Y TENORIO, PRES",AVENIDA,COREA AV.,7,-58.44147621,-34.64357704,PEATON,PASAJEROS
2021-0029,1,2021,3,31,18,"FALCON, RAMON L., CNEL. Y SAN PEDRITO AV.",AVENIDA,"FALCON, RAMON L.,CNEL.",7,-58.46899119,-34.63215432,AUTO,AUTO
2021-0030,1,2021,4,3,18,FINOCHIETTO ENRIQUE DR. 1623,CALLE,FINOCHIETTO ENRIQUE DR.,4,-58.38685612,-34.63455776,PEATON,PASAJEROS
2021-0031,1,2021,4,7,10,9 DE JULIO AV. E INDEPENDENCIA AV.,AVENIDA,9 DE JULIO AV.,1,-58.38113667,-34.61765323,PEATON,CARGAS
2021-0032,1,2021,4,10,19,"AU CANTILO Y GUIRALDES, INT.",AUTOPISTA,"CANTILO, INT.",13,-58.44112678,-34.54538956,PEATON,MOTO
2021-0033,1,2021,4,14,17,AU 25 DE MAYO ALTURA BAJADA BOEDO AV.,AUTOPISTA,AUTOPISTA 25 DE MAYO,5,-58.41595919,-34.62743346,AUTO,OBJETO FIJO
2021-0034,1,2021,4,19,14,"ALCORTA, AMANCIO AV. y ZAVALETA",AVENIDA,"ALCORTA, AMANCIO AV.",4,-58.40184094,-34.64546845,MOTO,CARGAS
2021-0035,1,2021,5,3,9,"JANER, ANA MARIA Y LAFUENTE AV.",AVENIDA,"JANER, ANA MARIA",8,-58.44642231,-34.65679806,MOTO,CARGAS
2021-0036,1,2021,5,9,6,"PAZ, GRAL. AV. Y MOSCONI GENERAL AV.",GRAL PAZ,"PAZ, GRAL. AV.",11,-58.52340614,-34.59798754,MOTO,OBJETO FIJO
2021-0037,1,2021,5,11,7,"MONROE Y BALBIN, RICARDO, DR. AV.",AVENIDA,MONROE,13,-58.46649069,-34.56219075,PEATON,PASAJEROS
2021-0038,1,2021,5,14,11,"JUSTO, JUAN B. AV. Y SANTA FE AV.",AVENIDA,"JUSTO, JUAN B. AV.",14,-58.42653328,-34.57816791,MOTO,CARGAS
2021-0039,1,2021,5,15,12,"OLIDEN Y ALBERDI, JUAN BAUTISTA AV.",AVENIDA,OLIDEN,9,-58.50407099,-34.65303372,BICICLETA,AUTO
2021-0040,1,2021,5,20,5,"PAZ, GRAL. AV. Y DEL LIBERTADOR AV.",GRAL PAZ,"PAZ, GRAL. AV.",13,-58.46743471,-34.53476874,MOTO,AUTO
